file,z0,method,w_min,w_max,mse,mae,avg_window_size,n_deviations,n_steps
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,3,15,18.095673779866672,3.182563911090983,14.228571428571428,35.0,35.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,4,8,20.39643675457378,3.273858005138528,7.888888888888889,52.0,63.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,4,8,10.175578155964129,2.3811259104475986,7.888888888888889,61.0,63.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,4,10,16.38668476888941,2.9422264790177737,9.745098039215685,45.0,51.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,4,10,11.187397794708568,2.581564286380788,9.745098039215685,51.0,51.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,4,12,27.804186107299575,3.9573845871310667,11.55813953488372,35.0,43.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,4,12,12.959186909003318,2.811950245816471,11.55813953488372,43.0,43.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,4,15,33.557251978765606,4.505973152970073,14.2,30.0,35.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,4,15,19.835817703762714,3.4026279876750816,14.2,35.0,35.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,5,8,17.022295218870596,2.9753822078153442,7.935483870967742,50.0,62.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,5,8,35.51899264103819,2.9721244312135493,7.935483870967742,61.0,62.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,5,10,22.298703614023022,3.3261854593196922,9.86,45.0,50.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,5,10,11.403104183697375,2.5598614607614816,9.86,50.0,50.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,5,12,26.2695209069528,3.78701289131188,11.785714285714286,40.0,42.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,5,12,14.223850167181299,2.9570352859548037,11.785714285714286,42.0,42.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,ols,5,15,35.07941973074057,4.526764413244504,14.588235294117647,31.0,34.0
initial_value_5_samples_500_a_0.3_b_120_delta_1.0.csv,5,diff_ols,5,15,24.0910888276675,3.558603917122141,14.588235294117647,34.0,34.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,3,8,71.52687004589075,6.347650059037929,7.78125,55.0,64.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,3,8,48.13580463620032,5.116202865281015,7.78125,62.0,64.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,3,10,101.40179966834299,7.441139070057804,9.576923076923077,40.0,52.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,3,10,57.54705330841211,5.757922245574138,9.576923076923077,52.0,52.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,3,12,131.31028785607688,7.841976730916256,11.272727272727273,34.0,44.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,3,12,120.96258895523131,6.785680360875993,11.272727272727273,44.0,44.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,3,15,108.10859750217168,7.486896842051782,13.45945945945946,29.0,37.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,diff_ols,3,15,85.95513969762294,6.467633042823178,13.45945945945946,36.0,37.0
initial_value_5_samples_500_a_0.3_b_150.csv,5,ols,4,8,65.3710808223096,6.013433038989875,7.873015873015873,48.0,63.0
